GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gestor_titulos_propios,negocio.entities,EstadoCurso,0,39,0,0,0,7,0,1,0,1
Gestor_titulos_propios,negocio.entities,ProfesorExterno,42,0,0,0,11,0,4,0,4,0
Gestor_titulos_propios,negocio.entities,CursoPropio,127,188,17,15,19,50,22,13,6,13
Gestor_titulos_propios,negocio.entities,Vicerrectorado,67,0,0,0,22,0,11,0,11,0
Gestor_titulos_propios,negocio.entities,Centro,52,78,10,6,9,24,12,7,4,7
Gestor_titulos_propios,negocio.entities,ModoPago,0,15,0,0,0,3,0,1,0,1
Gestor_titulos_propios,negocio.entities,Estudiante,66,11,0,0,21,4,12,1,12,1
Gestor_titulos_propios,negocio.entities,Matricula,42,34,0,0,13,12,9,2,9,2
Gestor_titulos_propios,negocio.entities,Materia,16,74,0,0,4,17,4,7,4,7
Gestor_titulos_propios,negocio.entities,Profesor,61,90,11,7,11,27,14,8,5,8
Gestor_titulos_propios,negocio.entities,CategoriaProfesor,0,39,0,0,0,7,0,1,0,1
Gestor_titulos_propios,negocio.entities,ProfesorUCLM,62,94,13,9,8,22,12,4,1,4
Gestor_titulos_propios,negocio.entities,TipoCurso,0,57,0,0,0,10,0,1,0,1
Gestor_titulos_propios,presentacion,PantallaGestionarCursos.new ActionListener() {...},9,9,0,0,3,1,1,1,1,1
Gestor_titulos_propios,presentacion,PantallaPropuestaCurso.new JTable() {...},2,7,0,0,1,1,1,1,1,1
Gestor_titulos_propios,presentacion,PantallaPropuestaCurso.new ActionListener() {...},109,240,11,9,17,43,10,2,0,2
Gestor_titulos_propios,presentacion,PantallaGestionarCursos.new JTable() {...},2,7,0,0,1,1,1,1,1,1
Gestor_titulos_propios,presentacion,PantallaPropuestaCurso.new ActionListener() {...},0,27,0,0,0,6,0,2,0,2
Gestor_titulos_propios,presentacion,PantallaGestionarCursos.new ActionListener() {...},15,9,0,0,4,1,1,1,1,1
Gestor_titulos_propios,presentacion,PantallaPropuestaCurso.new JTable() {...},2,7,0,0,1,1,1,1,1,1
Gestor_titulos_propios,presentacion,PantallaGestionarCursos.new ActionListener() {...},32,9,4,0,6,1,3,1,1,1
Gestor_titulos_propios,presentacion,PantallaPropuestaCurso.new ActionListener() {...},33,6,4,0,7,1,3,1,1,1
Gestor_titulos_propios,presentacion,PantallaGestionarCursos.new ActionListener() {...},36,9,6,0,6,1,4,1,1,1
